run_id,epoch,train_recon,train_vq,train_distill,val_recon,val_distill,best_val_recon,is_best,phase,channel_prob,learning_rate
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,71,0.04868839,0.17004809,0.02645959,0.04830112,0.02573987,0.04562500,0,Phase2-退火(83%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,72,0.04808267,0.16714887,0.02592341,0.04805876,0.02475943,0.04562500,0,Phase2-退火(85%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,73,0.04795556,0.16492510,0.02565778,0.04756316,0.02846773,0.04562500,0,Phase2-退火(87%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,74,0.04841355,0.17591156,0.02771962,0.04650810,0.02806464,0.04562500,0,Phase2-退火(88%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,75,0.04770036,0.16800923,0.02631498,0.04667452,0.02555515,0.04562500,0,Phase2-退火(90%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,76,0.04753408,0.16990322,0.02672695,0.04565863,0.02407999,0.04562500,0,Phase2-退火(92%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,77,0.04691075,0.16672137,0.02619712,0.04759198,0.02993527,0.04562500,0,Phase2-退火(93%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,78,0.04750998,0.17614031,0.02783995,0.04747603,0.02795427,0.04562500,0,Phase2-退火(95%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,79,0.04678802,0.16978915,0.02686719,0.04798677,0.02751795,0.04562500,0,Phase2-退火(97%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,80,0.04663400,0.17152956,0.02713186,0.04527082,0.02680542,0.04527082,1,Phase2-退火(98%),0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,81,0.04652493,0.17365390,0.02761086,0.04822010,0.02837497,0.04527082,0,Phase3-微调,0.000000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,82,0.04614744,0.17163378,0.02716158,0.04556615,0.02503993,0.04527082,0,Phase3-微调,0.025000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,83,0.04578963,0.16611605,0.02625681,0.04745458,0.03114704,0.04527082,0,Phase3-微调,0.050000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,84,0.04549155,0.16518403,0.02616821,0.04701922,0.02890902,0.04527082,0,Phase3-微调,0.075000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,85,0.04581298,0.16855672,0.02687500,0.04451143,0.02407234,0.04451143,1,Phase3-微调,0.100000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,86,0.04631869,0.17550470,0.02821659,0.04431913,0.02457038,0.04431913,1,Phase3-微调,0.125000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,87,0.04470380,0.16027186,0.02540490,0.04405191,0.02478430,0.04405191,1,Phase3-微调,0.150000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,88,0.04585831,0.17266602,0.02769374,0.05333519,0.02763343,0.04405191,0,Phase3-微调,0.175000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,89,0.04509763,0.16606752,0.02649841,0.04561623,0.02554427,0.04405191,0,Phase3-微调,0.200000,5e-05
src64-64_raq2-64_distill_ch64-128_gpu3-20260625-103347,90,0.04492199,0.16477988,0.02622396,0.04744017,0.03166860,0.04405191,0,Phase3-微调,0.225000,5e-05
