run_id,epoch,train_recon,train_vq,val_recon,best_val_recon,is_best,phase,learning_rate
quality_v1_unet2_ds4x2_k64-003-resume,118,0.00573130,0.03307420,0.00571586,0.00543742,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,119,0.00568042,0.03300267,0.00624034,0.00543742,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,120,0.00569993,0.03302841,0.00771190,0.00543742,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,121,0.00570415,0.03313106,0.00616577,0.00543742,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,122,0.00636077,0.03474066,0.00591199,0.00543742,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,123,0.00579632,0.03366982,0.00580333,0.00543742,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,124,0.00575650,0.03346928,0.00572436,0.00543742,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,125,0.00577059,0.03342152,0.00578957,0.00543742,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,126,0.00563052,0.03310933,0.00644155,0.00543742,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,127,0.00567958,0.03330676,0.00546027,0.00543742,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,128,0.00562019,0.03324234,0.00831846,0.00543742,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,129,0.00567228,0.03336476,0.00545619,0.00543742,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,130,0.00563718,0.03330902,0.00572210,0.00543742,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,131,0.00564766,0.03337369,0.00549090,0.00543742,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,132,0.00562170,0.03339793,0.00564116,0.00543742,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,133,0.00561749,0.03336077,0.00672417,0.00543742,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,134,0.00566093,0.03351651,0.00548337,0.00543742,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,135,0.00559316,0.03354234,0.00604050,0.00543742,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,136,0.00558479,0.03341602,0.00567935,0.00543742,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,137,0.00559716,0.03361870,0.00539497,0.00539497,1,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,138,0.00564628,0.03393605,0.00545721,0.00539497,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,139,0.00570808,0.03380643,0.01419127,0.00539497,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,140,0.00598219,0.03482478,0.00544116,0.00539497,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,141,0.00567308,0.03403184,0.00562751,0.00539497,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,142,0.00577105,0.03420245,0.00539701,0.00539497,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,143,0.00562566,0.03383669,0.00541005,0.00539497,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,144,0.00559192,0.03375128,0.00576361,0.00539497,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,145,0.00557199,0.03386830,0.00581184,0.00539497,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,146,0.00556575,0.03377351,0.00544836,0.00539497,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,147,0.00548975,0.03356630,0.00571536,0.00539497,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,148,0.00551722,0.03374849,0.00591126,0.00539497,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,149,0.00552567,0.03373591,0.00553289,0.00539497,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,150,0.00552800,0.03373782,0.00580849,0.00539497,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,151,0.00552271,0.03380898,0.00557975,0.00539497,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,152,0.00550758,0.03380919,0.00556817,0.00539497,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,153,0.00560676,0.03404729,0.00546393,0.00539497,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,154,0.00552414,0.03391868,0.00705842,0.00539497,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,155,0.00549888,0.03390709,0.00569108,0.00539497,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,156,0.00552054,0.03410740,0.00540703,0.00539497,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,157,0.00552336,0.03408336,0.00568317,0.00539497,0,Phase3-微调,2.5e-05
quality_v1_unet2_ds4x2_k64-003-resume,158,0.00549757,0.03403792,0.00585479,0.00539497,0,Phase3-微调,2.5e-05
