run_id,epoch,train_recon,train_vq,train_total,val_recon,val_vq,val_psnr,val_ms_ssim,best_val_recon,is_best,phase,channel_prob,channel_usage_ratio,mean_channel_snr,source_bits_per_image,source_bpp,transmission_ratio,learning_rate
rq_ema_k4-2_d2-2_rate047-20260720-173341,94,0.02280849,0.01991420,0.04272269,0.02390399,0.01909656,22.26902236,0.89133109,0.02282841,0,Phase3-微调,0.325000,0.29629630,7.26514565,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,95,0.02271214,0.01848392,0.04119606,0.02335510,0.01878637,22.35637832,0.88952929,0.02282841,0,Phase3-微调,0.350000,0.34444444,7.23031926,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,96,0.02282970,0.01785432,0.04068402,0.02256011,0.01755635,22.50705943,0.89349963,0.02256011,1,Phase3-微调,0.375000,0.37222222,7.18978381,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,97,0.02247272,0.01704855,0.03952127,0.02324893,0.01648722,22.37820140,0.89110415,0.02256011,0,Phase3-微调,0.400000,0.40185185,7.63153514,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,98,0.02883196,0.01579699,0.04462895,0.02254699,0.01472377,22.50681161,0.89455806,0.02254699,1,Phase3-微调,0.425000,0.43333333,7.74932161,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,99,0.02214529,0.01522073,0.03736601,0.02550591,0.01475725,21.96695351,0.88341413,0.02254699,0,Phase3-微调,0.450000,0.44444444,7.98672767,4608,0.0703125000,0.0468750000,5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,100,0.02225438,0.01510738,0.03736175,0.02220115,0.01550853,22.57719111,0.89514540,0.02220115,1,Phase3-微调,0.475000,0.50370370,7.08230890,4608,0.0703125000,0.0468750000,2.5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,101,0.02149124,0.01502077,0.03651201,0.02172149,0.01478440,22.66951973,0.89691015,0.02172149,1,Phase3-微调,0.500000,0.47407407,7.30415120,4608,0.0703125000,0.0468750000,2.5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,102,0.02131007,0.01497212,0.03628218,0.02167045,0.01596690,22.67987056,0.89702388,0.02167045,1,Phase3-微调,0.525000,0.51481481,8.00658836,4608,0.0703125000,0.0468750000,2.5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,103,0.02134307,0.01498605,0.03632912,0.02178055,0.01503903,22.65981780,0.89621509,0.02167045,0,Phase3-微调,0.550000,0.53148148,7.67151062,4608,0.0703125000,0.0468750000,2.5e-05
rq_ema_k4-2_d2-2_rate047-20260720-173341,104,0.02133942,0.01493066,0.03627008,0.02186099,0.01508331,22.64378606,0.89726236,0.02167045,0,Phase3-微调,0.575000,0.59814815,7.59122409,4608,0.0703125000,0.0468750000,2.5e-05
